Regel;Name;Katalog;Schwere;blockt am Gate;Task;Eintritt fuer;Phase;Dimension;Steuerregel;abnehmbar in;im Kern-Fokus;Skills
AF-01;ConOps freshness stamp present;Gate;warning;;kern;conops;PDR;req;;kern;ja;
AF-02;Trade Study freshness stamp present;Gate;warning;;kern;trade;PDR;arch;;kern;ja;
AF-03;Assumption Review freshness stamp present;Gate;warning;;kern;irr;PDR;req;;kern;ja;
AF-04;FMEA freshness stamp present;Gate;warning;;kern;fmea;CDR;ver;;kern;ja;
AF-05;Implementation Plan freshness stamp present;Gate;warning;;kern;plan;TRR;ms;;kern;ja;
BQ-01;Unambiguous;nur Steuerung;warning;;anforderungsqualitaet;;SRR;req;;;;
BQ-02;Verifiable;nur Steuerung;warning;;anforderungsqualitaet;;SRR;req;;;;
BQ-04;Necessary;nur Steuerung;warning;;anforderungsqualitaet;;SRR;req;;;;
BQ-06;Conforming;nur Steuerung;warning;;anforderungsqualitaet;;SRR;req;;;;
BQ-07;Complete;nur Steuerung;warning;;anforderungsqualitaet;;SRR;req;;;;
BW-02;Whitebox boundary width;Gate;warning;;kern;;PDR;arch;ja;;ja;
CL-01;ConopsCompleteness;Gate;warning;;conops;;SRR;uc;;conops;;se/author-actor
CR-01;CrossingFlowCount;Gate;warning;;kern;;PDR;arch;ja;;ja;se/top-level
CR-R01;CR must track;Gate;error;;plan;;SRR;cr;;plan;;
CR-R02;Done requires commit;Gate;error;;plan;;TRR;cr;;;;
CR-R03;No concurrent mutation;Gate;warning;;plan;;SRR;cr;;;;
FC-02;Leaf UC has FCHAIN;Gate;warning;;kern;;SRR;uc;;;ja;se/author-uc se-fmea
FC-03;FCHAIN is flat;Gate;warning;;kern;;PDR;uc;;;ja;se-fmea
FC-04;FCHAIN actor-bounded (trigger+consumer);Gate;warning;;kern;;PDR;uc;;;ja;se/author-actor se-fmea
FM-01;RiskReqFmeaAttributes;Gate;warning;;fmea;;SRR;req;;;;se-fmea
FM-02;RiskReqMitigation;Gate;warning;;fmea;;SRR;req;;;;se-fmea
FM-03;HighRiskVerification;Gate;error;;fmea;;TRR;ver;;fmea;;se-fmea se-view/fmea
